cabinet_id,phone_number,address,locality,state,postcode,latitude,longitude,fnn,phone_attributes,source
02921139X2,0292113981,15 BROADWAY ST,ULTIMO,NSW,2007,-33.884083,151.201338,,,Tasmania Government LIST Telstra Payphones layer
02921203X2,0292123321,15 BROADWAY ST,ULTIMO,NSW,2007,-33.883679,151.200804,,,Tasmania Government LIST Telstra Payphones layer
02921224X2,0292123114,1 MARY ANN ST,ULTIMO,NSW,2007,-33.881196,151.199351,,,Tasmania Government LIST Telstra Payphones layer
02928011X2,0292802001,185 BROADWAY,ULTIMO,NSW,2007,-33.88428,151.196151,,,Tasmania Government LIST Telstra Payphones layer
02928015X2,0455899784,185 BROADWAY,ULTIMO,NSW,2007,-33.884422,151.195203,,,Tasmania Government LIST Telstra Payphones layer
02928137X2,0292810589,61 MOUNTAIN ST,ULTIMO,NSW,2007,-33.883986,151.196401,,,Tasmania Government LIST Telstra Payphones layer
02928149X2,0292810707,622 HARRIS ST,ULTIMO,NSW,2007,-33.880912,151.200457,,,Tasmania Government LIST Telstra Payphones layer
02928150X2,0292810709,1 MARY ANN ST,ULTIMO,NSW,2007,-33.88197,151.19945,,,Tasmania Government LIST Telstra Payphones layer
02928159X2,0292813496,622 HARRIS ST,ULTIMO,NSW,2007,-33.880912,151.200457,,,Tasmania Government LIST Telstra Payphones layer
02955225X2,0295522731,1 QUARRY ST,ULTIMO,NSW,2007,-33.876427,151.197737,,,Tasmania Government LIST Telstra Payphones layer
